,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
0,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.93,0.94,0.23,0.2514027319988708
1,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,0.73,0.82,0.23,0.23338188613132477
2,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,0.7,0.8,0.22,0.21838464501421406
3,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,0.75,0.68,0.23,0.21488350491443503
4,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,0.58,0.87,0.26,0.17343110671944958
5,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,0.49,0.77,0.26,0.06384531288877114
6,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,0.63,0.58,0.22,0.21258176717831656
7,0.026,0.825,0.0108,0.0074,0.0022,0.0973,0.97,0.89,0.26,0.2918219139404315
8,0.057,0.0,0.0043,0.29600000000000004,0.0,0.6351,0.83,0.91,0.22,0.23211908500916473
9,0.1107,0.0015,0.0127,0.1387,0.0,0.7076,0.89,0.75,0.25,0.20981346210713214
10,0.1172,0.0014,0.0091,0.2964,0.0,0.5626,0.98,0.76,0.27,0.21951124909794906
11,0.0236,0.0011,0.0037,0.0025,0.0011,0.9489,0.3,0.4,0.25,0.19435431837376685
12,0.045,0.0024,0.0015,0.3387,0.0,0.5927,0.98,0.91,0.26,0.23665436191691064
13,0.0723,0.0009,0.044,0.2251,0.0013,0.622,0.06,0.18,0.17,0.16616328495826904
14,0.095,0.0017,0.1291,0.0332,0.0002,0.7170000000000001,0.04,0.44,0.16,0.13766881677786852
15,0.0662,0.0035,0.0127,0.2607,0.0012,0.6356,0.72,0.65,0.24,0.21271271093241384
16,0.1479,0.0009,0.0194,0.0319,0.0018,0.7729,0.71,0.72,0.24,0.19698746744975903
17,0.022,0.0038,0.0079,0.2801,0.0003,0.6729999999999999,0.74,0.88,0.25,0.23064280839847243
18,0.0626,0.0007,0.0061,0.2024,0.0,0.7117,0.92,0.77,0.27,0.2219579109018625
19,0.1273,0.0018,0.2184,0.0058,0.1108,0.3031,0.58,0.35,0.12,0.10538615575542927
20,0.0248,0.0005,0.0067,0.5263,0.0,0.4253,0.95,0.84,0.26,0.23945683068020068
21,0.3511,0.0025,0.0144,0.0376,0.0,0.5843,0.88,0.84,0.24,0.1888392585867679
22,0.0325,0.0043,0.0058,0.0146,0.0,0.923,0.24,0.61,0.21,0.20130486609911927
23,0.0466,0.0039,0.0,0.3548,0.0,0.5851,0.82,0.95,0.26,0.23835127027547048
24,0.0985,0.0013,0.4173,0.0225,0.0893,0.1837,0.47,0.3,0.1,0.029480647042146826
25,0.0014,0.0,0.0,0.4339,0.0,0.5618,0.81,0.98,0.27,0.24703292397081597
26,0.0506,0.0,0.0039,0.4259,0.0,0.5093,0.76,0.89,0.26,0.234800351459179
27,0.0303,0.0152,0.2121,0.0303,0.2727,0.2273,0.32,0.57,0.11,0.16972641334225413
28,0.0874,0.0034,0.0,0.3720000000000001,0.0,0.5184,0.79,0.86,0.24,0.22926592723024172
29,0.0287,0.0012,0.0,0.3895,0.0006,0.5670000000000001,0.79,0.9,0.23,0.2380386190101364
30,0.0236,0.0512,0.0046,0.0042,0.0003,0.8944,0.64,0.5,0.14,0.20737467528293343
31,0.0172,0.0044,0.0125,0.0079,0.0003,0.9424,0.09,0.13,0.11,0.1772597017484524
32,0.0731,0.0016,0.0069,0.1354,0.0,0.7555,0.55,0.22,0.13,0.18719080142185276
33,0.0959,0.0026,0.0444,0.0937,0.0007,0.7348,0.16,0.06,0.11,0.1565382683310046
34,0.0528,0.0024,0.0257,0.6177,0.0003,0.2749,0.83,0.36,0.15,0.20843880191420733
35,0.0799,0.0005,0.0226,0.0394,0.0004,0.8128,0.52,0.06,0.09,0.167728719197208
