,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
2789,0.3768,0.0017,0.0029,0.0556,0.0,0.5553,0.89,0.96,0.18,0.19759095846318553
2970,0.0102,0.0023,0.0061,0.0309,0.0008,0.9394,0.59,0.52,0.19,0.20727572560323704
1064,0.0354,0.0009,0.0044,0.0033,0.0005,0.938,0.27,0.52,0.21,0.19918144596102658
2895,0.0294,0.0046,0.0013,0.0153,0.0,0.9322,0.11,0.18,0.16,0.18308534427200074
2989,0.3973,0.0,0.1109,0.1278,0.0,0.3309,0.53,0.28,0.15,0.11912586761793775
2400,0.0321,0.0081,0.0013,0.3825,0.0,0.5660000000000001,0.8,0.69,0.2,0.22798330719434057
1344,0.0136,0.0111,0.0097,0.0082,0.0004,0.9363,0.45,0.24,0.13,0.18886255593009613
2172,0.0779,0.003,0.0072,0.4969,0.0006,0.3961,0.98,0.77,0.19,0.22917084685421651
1334,0.0536,0.0034,0.04,0.0885,0.0037,0.7837,0.71,0.09,0.18,0.17193867367474297
1480,0.025,0.0153,0.0043,0.0018,0.0,0.9376,0.11,0.1,0.18,0.179380147884856
819,0.0664,0.0027,0.0,0.1889,0.0,0.7385,0.47,0.73,0.17,0.21776713616455928
1179,0.0771,0.0086,0.0006,0.044,0.0,0.8413,0.29,0.29,0.2,0.185532422533658
611,0.0578,0.0029,0.0072,0.2692,0.0,0.6471,0.85,0.95,0.26,0.23190592685830308
2856,0.1919,0.0074,0.0218,0.0996,0.0008,0.6527,0.82,0.83,0.2,0.20151224825830313
2149,0.0261,0.0011,0.0632,0.033,0.0001,0.8504,0.02,0.0,0.16,0.15117791184273355
2493,0.0564,0.001,0.0081,0.035,0.0,0.8808,0.34,0.13,0.17,0.17857832490920578
332,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023,0.86,0.86,0.23,0.23849491538331932
2719,0.2484,0.0049,0.0052,0.0984,0.0001,0.633,0.94,0.97,0.2,0.21189204863941116
2560,0.026,0.0026,0.0039,0.0817,0.0,0.873,0.63,0.61,0.26,0.21218221272803925
1613,0.0452,0.003,0.0035,0.0035,0.0009,0.9321,0.14,0.31,0.12,0.18795957109101652
2527,0.0246,0.0024,0.0038,0.0524,0.0003,0.904,0.57,0.78,0.25,0.21902359090012793
1537,0.0514,0.0049,0.0609,0.0425,0.0,0.8115,0.11,0.33,0.1,0.16658432598658174
1543,0.0112,0.0086,0.0036,0.0041,0.0,0.9599,0.48,0.75,0.16,0.21691888822036257
1830,0.3117,0.0317,0.0011,0.0007,0.0,0.6408,0.83,0.84,0.21,0.19822134886366932
2292,0.0505,0.0164,0.0018,0.0093,0.0009,0.8801,0.16,0.37,0.22,0.18788411209635644
