,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predicted_y
2789,0.3768,0.0017,0.0029,0.0556,0.0,0.5553,0.89,0.96,0.18,0.17870000000000005
2970,0.0102,0.0023,0.0061,0.0309,0.0008,0.9394,0.59,0.52,0.19,0.2113
1064,0.0354,0.0009,0.0044,0.0033,0.0005,0.938,0.27,0.52,0.21,0.18029999999999993
2895,0.0294,0.0046,0.0013,0.0153,0.0,0.9322,0.11,0.18,0.16,0.20289999999999997
2989,0.3973,0.0,0.1109,0.1278,0.0,0.3309,0.53,0.28,0.15,0.13489999999999985
2400,0.0321,0.0081,0.0013,0.3825,0.0,0.5660000000000001,0.8,0.69,0.2,0.2007
1344,0.0136,0.0111,0.0097,0.0082,0.0004,0.9363,0.45,0.24,0.13,0.17659999999999992
2172,0.0779,0.003,0.0072,0.4969,0.0006,0.3961,0.98,0.77,0.19,0.2317999999999999
1334,0.0536,0.0034,0.04,0.0885,0.0037,0.7837,0.71,0.09,0.18,0.1658000000000001
1480,0.025,0.0153,0.0043,0.0018,0.0,0.9376,0.11,0.1,0.18,0.21230000000000007
819,0.0664,0.0027,0.0,0.1889,0.0,0.7385,0.47,0.73,0.17,0.2162
1179,0.0771,0.0086,0.0006,0.044,0.0,0.8413,0.29,0.29,0.2,0.18389999999999992
611,0.0578,0.0029,0.0072,0.2692,0.0,0.6471,0.85,0.95,0.26,0.26020000000000015
2856,0.1919,0.0074,0.0218,0.0996,0.0008,0.6527,0.82,0.83,0.2,0.19190000000000015
2149,0.0261,0.0011,0.0632,0.033,0.0001,0.8504,0.02,0.0,0.16,0.16349999999999998
2493,0.0564,0.001,0.0081,0.035,0.0,0.8808,0.34,0.13,0.17,0.18850000000000008
332,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023,0.86,0.86,0.23,0.2318
2719,0.2484,0.0049,0.0052,0.0984,0.0001,0.633,0.94,0.97,0.2,0.19750000000000012
2560,0.026,0.0026,0.0039,0.0817,0.0,0.873,0.63,0.61,0.26,0.2015000000000001
1613,0.0452,0.003,0.0035,0.0035,0.0009,0.9321,0.14,0.31,0.12,0.17829999999999988
2527,0.0246,0.0024,0.0038,0.0524,0.0003,0.904,0.57,0.78,0.25,0.24059999999999993
1537,0.0514,0.0049,0.0609,0.0425,0.0,0.8115,0.11,0.33,0.1,0.14890000000000003
1543,0.0112,0.0086,0.0036,0.0041,0.0,0.9599,0.48,0.75,0.16,0.18099999999999997
1830,0.3117,0.0317,0.0011,0.0007,0.0,0.6408,0.83,0.84,0.21,0.23100000000000012
2292,0.0505,0.0164,0.0018,0.0093,0.0009,0.8801,0.16,0.37,0.22,0.18369999999999997
218,0.0115,0.0044,0.0051,0.0142,0.0006,0.9516,0.37,0.21,0.2,0.1919
291,0.1496,0.0074,0.0138,0.005,0.0092,0.7962,0.6,0.66,0.2,0.16760000000000003
2340,0.0352,0.101,0.0072,0.0356,0.0007,0.7098,0.81,0.94,0.23,0.22810000000000025
857,0.0131,0.001,0.0056,0.0083,0.0003,0.9614,0.08,0.45,0.18,0.18039999999999995
2202,0.0749,0.0012,0.002,0.0025,0.0,0.9066,0.03,0.06,0.31,0.19589999999999982
17,0.022,0.0038,0.0079,0.2801,0.0003,0.6729999999999999,0.74,0.88,0.25,0.24190000000000011
170,0.3381,0.0017,0.0662,0.0786,0.0003,0.4896,0.38,0.69,0.15,0.15850000000000006
2478,0.0402,0.0015,0.0027,0.5328,0.0,0.4089,0.8,0.89,0.2,0.23320000000000018
2299,0.1057,0.0555,0.0002,0.0138,0.0,0.7775,0.87,0.91,0.22,0.21530000000000002
1677,0.001,0.0,0.0,0.0068,0.0,0.9923,0.01,0.3,0.26,0.2291999999999998
1068,0.1009,0.0002,0.0047,0.0057,0.0,0.8726,0.58,0.79,0.19,0.2073
178,0.0198,0.0017,0.0026,0.039,0.0,0.929,0.81,0.65,0.19,0.2139000000000001
2776,0.0999,0.0012,0.0003,0.0995,0.0,0.7837,0.8,0.97,0.2,0.23100000000000012
1665,0.0379,0.2233,0.0037,0.0032,0.0,0.6918,0.7,0.32,0.27,0.22679999999999997
1317,0.0033,0.0008,0.0151,0.0049,0.0,0.9723,0.81,0.37,0.23,0.19760000000000022
1110,0.0511,0.0032,0.0,0.01,0.0,0.9298,0.07,0.33,0.19,0.18960000000000005
1146,0.0167,0.0011,0.0047,0.0152,0.0,0.9506,0.73,0.37,0.22,0.2080000000000001
2167,0.0159,0.0035,0.0048,0.0183,0.0002,0.9329,0.3,0.18,0.23,0.1961000000000001
927,0.0396,0.0018,0.0085,0.0961,0.0,0.8245,0.5,0.47,0.16,0.1888
596,0.0325,0.0,0.0042,0.2892,0.0,0.6603,0.77,0.86,0.25,0.2574000000000002
1103,0.0701,0.0057,0.0145,0.0819,0.001,0.789,0.24,0.4,0.21,0.17060000000000003
889,0.0244,0.001,0.0037,0.0063,0.0,0.953,0.11,0.23,0.17,0.177
134,0.1224,0.0306,0.0,0.0,0.0,0.8469,0.76,0.83,0.18,0.21520000000000003
2838,0.3006,0.0019,0.0094,0.2475,0.0005,0.4287,0.83,0.9,0.17,0.19270000000000004
