states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
ALABAMA,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.93,Very High Concern,0.94,Very High Concern,0.228,0.23
ALABAMA,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,0.73,High Concern,0.82,Very High Concern,0.192,0.23
ALABAMA,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,0.7,High Concern,0.8,High Concern,0.085,0.22
ALABAMA,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,0.75,High Concern,0.68,High Concern,0.158,0.23
ALASKA,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,0.58,Moderate Concern,0.87,Very High Concern,0.195,0.26
ALASKA,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,0.49,Moderate Concern,0.77,High Concern,0.156,0.26
ALABAMA,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,0.63,High Concern,0.58,Moderate Concern,0.149,0.22
ALASKA,0.026,0.825,0.0108,0.0074,0.0022,0.0973,0.97,Very High Concern,0.89,Very High Concern,0.503,0.26
GEORGIA,0.057,0.0,0.0043,0.296,0.0,0.6351,0.83,Very High Concern,0.91,Very High Concern,0.064,0.22
GEORGIA,0.1107,0.0015,0.0127,0.1387,0.0,0.7076,0.89,Very High Concern,0.75,High Concern,0.018,0.25
GEORGIA,0.1172,0.0014,0.0091,0.2964,0.0,0.5626,0.98,Very High Concern,0.76,High Concern,0.068,0.27
GEORGIA,0.0236,0.0011,0.0037,0.0025,0.0011,0.9489,0.3,Low Concern,0.4,Moderate Concern,0.067,0.25
GEORGIA,0.045,0.0024,0.0015,0.3387,0.0,0.5927,0.98,Very High Concern,0.91,Very High Concern,0.108,0.26
GEORGIA,0.0723,0.0009,0.044,0.2251,0.0013,0.622,0.06,Very Low Concern,0.18,Very Low Concern,0.112,0.17
GEORGIA,0.095,0.0017,0.1291,0.0332,0.0002,0.717,0.04,Very Low Concern,0.44,Moderate Concern,0.047,0.16
GEORGIA,0.0662,0.0035,0.0127,0.2607,0.0012,0.6356,0.72,High Concern,0.65,High Concern,0.258,0.24
GEORGIA,0.1479,0.0009,0.0194,0.0319,0.0018,0.7729,0.71,High Concern,0.72,High Concern,0.046,0.24
GEORGIA,0.022,0.0038,0.0079,0.2801,0.0003,0.673,0.74,High Concern,0.88,Very High Concern,0.036,0.25
GEORGIA,0.0626,0.0007,0.0061,0.2024,0.0,0.7117,0.92,Very High Concern,0.77,High Concern,0.139,0.27
HAWAII,0.1273,0.0018,0.2184,0.0058,0.1108,0.3031,0.58,Moderate Concern,0.35,Low Concern,0.0,0.12
GEORGIA,0.0248,0.0005,0.0067,0.5263,0.0,0.4253,0.95,Very High Concern,0.84,Very High Concern,0.037,0.26
GEORGIA,0.3511,0.0025,0.0144,0.0376,0.0,0.5843,0.88,Very High Concern,0.84,Very High Concern,0.064,0.24
